pdb_id,author_family_name
1a9j,Beger
1a9j,Bolton
1a9l,Diener
1a9l,Moore
1a9v,Mueller
1a9v,Benjamin
1a9v,Rule
1aa3,Aihara
1aa3,Ito
1aa3,Kurumizaka
1aa3,Terada
1aa3,Yokoyama
1aa3,Shibata
1aa9,Ito
1aa9,Yamasaki
1aa9,Iwahara
1aa9,Terada
1aa9,Kamiya
1aa9,Shirouzu
1aa9,Muto
1aa9,Kawai
1aa9,Yokoyama
1aa9,Laue
1aa9,Walchli
1aa9,Shibata
1aa9,Nishimura
1aa9,Miyazawa
1aab,Hardman
1aab,Broadhurst
1aab,Raine
1aab,Grasser
1aab,Thomas
1aab,Laue
1aaf,Summers
1aaf,Henderson
1aaf,Chance
1aaf,Bess Jr.
1aaf,South
1aaf,Blake
1aaf,Sagi
1aaf,Perez-Alvarado
1aaf,Sowder 3rd.
1aaf,Hare
1aaf,Arthur
1ab2,Overduin
1ab2,Rios
1ab2,Mayer
1ab2,Baltimore
1ab2,Cowburn
1ab3,Berglund
1ab3,Rak
1ab3,Serganov
1ab3,Garber
1ab3,Hard
1ab7,Wong
1ab7,Fersht
1ab7,Freund
1abt,Basus
1abt,Song
1abt,Hawrot
1abv,Wilkens
1abv,Dunn
1abv,Chandler
1abv,Dahlquist
1abv,Capaldi
1abz,Fezoui
1abz,Connolly
1abz,Osterhout
1ac0,Sorimachi
1ac0,Le Gal-Coeffet
1ac0,Williamson
1ac0,Archer
1ac0,Williamson
1ac3,Cross
1ac3,Rice
1ac3,Gao
1ac7,van Dongen
1ac7,Mooren
1ac7,Willems
1ac7,van der Marel
1ac7,van Boom
1ac7,Wijmenga
1ac7,Hilbers
1ac9,Foti
1ac9,Marshalko
1ac9,Schurter
1ac9,Kumar
1ac9,Beardsley
1ac9,Schweitzer
1aca,Kragelund
1aca,Andersen
1aca,Madsen
1aca,Knudsen
1aca,Poulsen
1aci,Xing
1aci,Draper
1acp,Kim
1acp,Prestegard
1acw,Blanc
1acw,Fremont
1acw,Sizun
1acw,Meunier
1acw,Van Rietschoten
1acw,Thevand
1acw,Bernassau
1acw,Darbon
1acz,Sorimachi
1acz,Le Gal-Coeffet
1acz,Williamson
1acz,Archer
1acz,Williamson
1ad7,Rigby
1ad7,Baleja
1ad7,Furie
1ad7,Furie
1adn,Myers
1adn,Verdine
1adn,Wagner
1adr,Sevilla-Sierra
1adr,Otting
1adr,Wuthrich
1adx,Sampoli Benitez
1adx,Hunter
1adx,Meininger
1adx,Komives
1adz,Burgering
1adz,Orbons
1adz,van der Doelen
1adz,Mulders
1adz,Theunissen
1adz,Grootenhuis
1adz,Bode
1adz,Huber
1adz,Stubbs
1ael,Hodsdon
1ael,Cistola
1aey,Blanco
1aey,Ortiz
1aey,Serrano
1af1,Zegar
1af1,Setayesh
1af1,DeCorte
1af1,Harris
1af1,Harris
1af1,Stone
1af8,Crump
1af8,Crosby
1af8,Dempsey
1af8,Parkinson
1af8,Murray
1af8,Hopwood
1af8,Simpson
1aff,Kettani
1aff,Bouaziz
1aff,Wang
1aff,Jones
1aff,Patel
1afh,Gomar
1afh,Petit
1afh,Sodano
1afh,Sy
1afh,Marion
1afh,Kader
1afh,Vovelle
1afh,Ptak
1afi,Steele
1afi,Opella
1afj,Steele
1afj,Opella
1afo,MacKenzie
1afo,Prestegard
1afo,Engelman
1afp,Campos-Olivas
1afp,Bruix
1afp,Santoro
1afp,Lacadena
1afp,Martinez del Pozo
1afp,Gavilanes
1afp,Rico
1aft,Fisher
1aft,Laub
1aft,Cooperman
1afx,Butcher
1afx,Allain
1afx,Feigon
1afz,Zegar
1afz,Stone
1ag2,Riek
1ag2,Hornemann
1ag2,Wider
1ag2,Billeter
1ag2,Glockshuber
1ag2,Wuthrich
1ag3,Weisenseel
1ag3,Moe
1ag3,Reddy
1ag3,Marnett
1ag3,Stone
1ag4,Rosinke
1ag4,Renner
1ag4,Mayr
1ag4,Jaenicke
1ag4,Holak
1ag5,Johnston
1ag5,Stone
1ag7,Hill
1ag7,Alewood
1ag7,Craik
1agg,Reily
1agg,Thanabal
1agg,Adams
1agh,Feng
1agh,Stone
1agk,Feng
1agk,Zhou
1agk,Passarelli
1agk,Harris
1agk,Harris
1agk,Stone
1ago,Feng
1ago,Voehler
1ago,Zhou
1ago,Passarelli
1ago,Harris
1ago,Harris
1ago,Stone
1agt,Krezel
1agt,Kasibhatla
1agt,Hidalgo
1agt,MacKinnon
1agt,Wagner
1agu,Zegar
1agu,Kim
1agu,Johansen
1agu,Horton
1agu,Harris
1agu,Harris
1agu,Stone
1agz,Feng
1agz,Zhou
1agz,Passarelli
1agz,Harris
1agz,Harris
1agz,Stone
1ah1,Metzler
1ah1,Bajorath
1ah1,Fenderson
1ah1,Shaw
1ah1,Constantine
1ah1,Naemura
1ah1,Leytze
1ah1,Peach
1ah1,Lavoie
1ah1,Mueller
1ah1,Linsley
1ah2,Martin
1ah2,Mulder
1ah2,Karimi-Nejad
1ah2,van der Zwan
1ah2,Mariani
1ah2,Schipper
1ah2,Boelens
1ah9,Sette
1ah9,van Tilborg
1ah9,Spurio
1ah9,Kaptein
1ah9,Paci
1ah9,Gualerzi
1ah9,Boelens
1ahd,Billeter
1ahd,Qian
1ahd,Otting
1ahd,Muller
1ahd,Gehring
1ahd,Wuthrich
1ahk,Ichikawa
1ahk,Hatanaka
1ahk,Yuuki
1ahk,Iwamoto
1ahk,Kojima
1ahk,Nishiyama
1ahk,Ogura
1ahk,Okumura
1ahk,Inagaki
1ahl,Pallaghy
1ahl,Scanlon
1ahl,Monks
1ahl,Norton
1ahm,Ichikawa
1ahm,Hatanaka
1ahm,Yuuki
1ahm,Iwamoto
1ahm,Kojima
1ahm,Nishiyama
1ahm,Ogura
1ahm,Okumura
1ahm,Inagaki
1ai0,Chang
1ai0,Jorgensen
1ai0,Bardrum
1ai0,Led
1aiw,Brun
1aiw,Moriaud
1aiw,Gans
1aiw,Blackledge
1aiw,Barras
1aiw,Marion
1aiy,Chang
1aiy,Jorgensen
1aiy,Bardrum
1aiy,Led
1aj1,Zimmermann
1aj1,Jung
1aj3,Pascual
1aj3,Pfuhl
1aj3,Walther
1aj3,Saraste
1aj3,Nilges
1aj4,Sia
1aj4,Li
1aj4,Spyracopoulos
1aj4,Gagne
1aj4,Liu
1aj4,Putkey
1aj4,Sykes
1aje,Feltham
1aje,Dotsch
1aje,Raza
1aje,Manor
1aje,Cerione
1aje,Sutcliffe
1aje,Wagner
1aje,Oswald
1ajf,Kieft
1ajf,Tinoco Jr.
1aju,Brodsky
1aju,Williamson
