bmrb_id,author_family_name
221,Robinson
221,Williams
221,Williams
222,Boswell
222,Eley
222,Hennig
222,Moore
222,Neupert
222,Robinson
222,Williams
222,Williams
223,Boswell
223,Eley
223,Hennig
223,Moore
223,Neupert
223,Robinson
223,Williams
223,Williams
224,Boswell
224,Eley
224,Hennig
224,Moore
224,Neupert
224,Robinson
224,Williams
224,Williams
225,Boswell
225,Eley
225,Hennig
225,Moore
225,Neupert
225,Robinson
225,Williams
225,Williams
226,Boswell
226,Eley
226,Hennig
226,Moore
226,Neupert
226,Robinson
226,Williams
226,Williams
227,Eugster
227,Senn
227,Wuthrich
228,Eugster
228,Senn
228,Wuthrich
229,Eugster
229,Senn
229,Wuthrich
233,Eugster
233,Senn
233,Wuthrich
234,Eugster
234,Senn
234,Wuthrich
235,Eugster
235,Senn
235,Wuthrich
236,Dubs
236,Wagner
236,Wuthrich
237,Nagayama
237,Wuthrich
238,Beress
238,Blunt
238,Gooley
238,Norton
238,Norton
239,Beress
239,Blunt
239,Gooley
239,Norton
239,Norton
240,Beress
240,Blunt
240,Gooley
240,Norton
240,Norton
241,Beress
241,Blunt
241,Gooley
241,Norton
241,Norton
242,Beress
242,Blunt
242,Gooley
242,Norton
242,Norton
243,Englander
243,Wand
244,Englander
244,Wand
245,Go
245,Hirano
245,Ikura
245,Inagaki
245,Kawaguchi
245,Shimada
245,Terasawa
246,Fuwa
246,Inagaki
246,Kohda
246,Miyake
246,Shimada
247,Chazin
247,Forsen
247,Kordel
248,Armitage
248,Lerch
248,Malikayil
249,Castiglione Morelli
249,Goud
249,Motta
249,Temussi
250,Florance
250,Galdes
250,Maniconte
250,Pardi
252,Hare
252,Kim
252,South
252,Summers
253,Clore
253,Driscoll
253,Forman-Kay
253,Gronenborn
253,Richards
253,Wingfield
254,Clore
254,Driscoll
254,Forman-Kay
254,Gronenborn
254,Richards
254,Wingfield
255,Clore
255,Driscoll
255,Forman-Kay
255,Gronenborn
255,Richards
255,Wingfield
256,Clore
256,Driscoll
256,Forman-Kay
256,Gronenborn
256,Richards
256,Wingfield
257,Clore
257,Driscoll
257,Forman-Kay
257,Gronenborn
257,Richards
257,Wingfield
258,Hasegawa
258,Hikichi
258,Tsuda
258,Yagi
258,Yoshida
259,Hasegawa
259,Hikichi
259,Tsuda
259,Yagi
259,Yoshida
260,Chazin
260,Wright
261,Chazin
261,Wright
262,Hansen
262,Tuchsen
263,Hansen
263,Tuchsen
264,Hansen
264,Tuchsen
274,Di Stefano
274,Englander
274,Feng
274,Roder
274,Wand
275,Fogh
275,Kem
275,Mabbutt
275,Norton
276,Cossins
276,Kem
276,Norton
280,Appella
280,Clore
280,Gronenborn
280,Matsushima
280,Yamada
283,Clore
283,Forman-Kay
283,Gronenborn
283,Kay
283,Wingfield
284,Clore
284,Forman-Kay
284,Gronenborn
284,Kay
284,Wingfield
285,Englander
285,Feng
285,Roder
286,Englander
286,Feng
286,Roder
287,Clore
287,Gronenborn
287,Wingfield
288,Clore
288,Gronenborn
288,Wingfield
289,Hyberts
289,Wagner
290,Hodges
290,Marsden
290,Sykes
291,Emerson
291,La Mar
292,Emerson
292,La Mar
293,Emerson
293,La Mar
294,Altman
294,Guiles
294,Kuntz
294,Lipka
294,Waskell
295,Altman
295,Guiles
295,Kuntz
295,Lipka
295,Waskell
298,Gould
298,Mabbutt
298,Norton
300,Kallenbach
300,Kumar
300,Pease
300,Schweitz
300,Wemmer
301,Boverman
301,Gondol
301,Hofmann
301,Nilges
302,Baldwin
302,Dyson
302,Osterhout
302,Stewart
302,Wright
302,York
306,Endo
306,Inagaki
306,Roise
306,Shimada
307,Endo
307,Inagaki
307,Roise
307,Shimada
308,Lecomte
308,Moore
309,Lecomte
309,Moore
311,Lecomte
311,Moore
314,Likos
316,Santos
316,Turner
317,Santos
317,Turner
321,Barden
321,Kemp
325,Chazin
325,Drakenberg
325,Forsen
325,Kordel
326,Chazin
