pdb_id
103d
104d
105d
106d
107d
108d
124d
132d
134d
135d
136d
139d
140d
141d
142d
143d
146d
148d
149d
156d
169d
170d
171d
175d
176d
177d
179d
17ra
185d
186d
193d
199d
1a03
1a0n
1a11
1a13
1a1d
1a1p
1a1t
1a1u
1a1w
1a1z
1a23
1a24
1a2i
1a2s
1a3m
1a3p
1a4d
1a4t
1a51
1a56
1a57
1a5e
1a5j
1a5r
1a60
1a63
1a66
1a67
1a6b
1a6h
1a6s
1a6x
1a7f
1a7i
1a7m
1a83
1a84
1a8c
1a8n
1a8w
1a90
1a91
1a93
1a9g
1a9h
1a9i
1a9j
1a9l
1a9v
1aa3
1aa9
1aab
1aaf
1ab2
1ab3
1ab7
1abt
1abv
1abz
1ac0
1ac3
1ac7
1ac9
1aca
1aci
1acp
1acw
1acz
1ad7
1adn
1adr
1adx
1adz
1ael
1aey
1af1
1af8
1aff
1afh
1afi
1afj
1afo
1afp
1aft
1afx
1afz
1ag2
1ag3
1ag4
1ag5
1ag7
1agg
1agh
1agk
1ago
1agt
1agu
1agz
1ah1
1ah2
1ah9
1ahd
1ahk
1ahl
1ahm
1ai0
1aiw
1aiy
1aj1
1aj3
1aj4
1aje
1ajf
1ajl
1ajt
1aju
1ajw
1ajy
1ak6
1ak7
1ak8
1akk
1akp
1akx
1al5
1al9
1ale
1alf
1alg
1am0
1amb
1amc
1amd
1aml
1anp
1anr
1ans
1ao1
1ao2
1ao4
1ao8
1ao9
1aoo
1aot
1aou
1aoy
1ap0
1ap1
1ap4
1ap7
1ap8
1apc
1apf
1apj
1apo
1apq
1aps
1aq5
1aqa
1aqg
1aqo
1aqq
1aqr
1aqs
1ard
1are
1arf
1arj
1ark
1arq
1arr
1as5
1at4
1ata
1atb
1atd
1ate
1ato
1atv
1atw
1atx
1aty
1au5
1au6
1aud
1aul
1auu
1auz
1av3
1aw0
1aw3
1aw4
1aw6
1awe
1awj
1awo
1aww
1awx
1awy
1awz
1ax3
1ax6
1ax7
1axh
1axj
1axl
1axo
1axp
1axu
1axv
1axx
1ay3
1ayg
1ayj
1ayk
1az6
1aze
