3,1acp,3
18,1egl,3
27,2hir,4
60,2ait,3
114,2crd,3
162,4tgf,3
183,4tgf,3
192,2cbh,3
196,2cbh,3
262,1uua,3
263,1uua,3
264,1uua,3
289,1egl,3
397,2eti,4
408,1scy,4
441,1rcs,4
442,1rcs,4
444,2gva,3
480,2bds,2
916,1rcs,4
975,1bnr,3
1120,1bdc,3
1136,1bdc,3
1209,1l4v,2
1479,1hcc,4
1480,1hcc,4
1495,2bbi,2
1663,1ax3,4
1672,1apc,3
1675,2nbt,3
1756,1lab,3
1812,1xoa,3
1813,1xoa,3
2030,1ka5,3
2039,2gva,3
2066,1bnr,3
2067,1bnr,3
2070,1bnr,3
2204,2ech,3
2223,1bba,3
2281,1ttf,3
2353,1bdc,3
2371,1hdn,3
2384,1pcp,3
2454,1acp,4
2498,1bqt,2
4035,1dhm,3
4036,1akp,3
4040,1jr5,3
4045,1yua,2
4079,1aab,2
4085,1sxl,2
4092,2jhb,3
4095,1auu,2
4104,1ahd,4
4112,1e68,3
4121,1bw5,2
4122,4hck,2
4126,2a3d,3
4143,3ncm,3
4144,1hmj,4
4146,1a91,2
4150,1bj8,4
4151,1c99,2
4160,1bb8,2
4161,1irg,3
4162,2ncm,3
4165,1tn9,2
4168,1bv8,4
4172,1bn9,8
4187,1skp,7
4204,1bqt,3
4207,2orc,2
4212,1bcv,7
4243,1c11,7
4246,1bxj,3
4248,2lef,2
4250,3php,7
4263,1ddm,3
4280,1qk9,2
4283,2fnb,2
4290,1dqc,3
4295,1bpv,3
4304,1b8q,3
4307,1b10,3
4309,1ybj,3
4317,1ns1,2
4318,1g7o,3
4330,1bwm,2
4334,1c20,2
4340,1df3,3
4344,1cpz,3
4360,3rpb,2
4368,1qry,3
4387,8tfv,2
4412,1ql5,8
4417,1b6f,3
4422,1ccv,2
4443,1c55,3
4446,1quw,3
4449,1c89,3
4451,1c9f,2
4455,1ci5,2
4458,1de1,2
4459,1de1,2
4463,1i35,3
4467,1ub1,7
4475,1cr8,2
4476,1ztn,2
4477,1ztn,2
4510,1cxw,2
4551,1cqu,3
4570,1b4o,3
4572,1du6,2
4574,1d4b,2
4593,1eoq,3
4609,1emq,3
4610,1evm,2
4612,1evo,2
4617,1bt7,4
4619,1e0e,3
4647,1fyy,4
4661,1c15,3
4671,1e09,3
4674,1eij,3
4678,1eik,2
4686,1el0,2
4696,1c6w,3
4698,1ks6,3
4717,1f7x,3
4727,1emw,3
4731,1hjd,3
4737,1ey1,2
4745,1k8s,8
4748,1eqk,2
4755,1emx,2
4757,1dv0,2
4771,1s62,3
4784,1g2h,2
4789,1f81,2
4797,1kd6,2
4799,1fi0,2
4803,1nx7,4
4806,1nx7,4
4817,1fo5,2
4818,1hzm,4
4825,1m58,7
4829,1jxs,2
4850,1fov,2
4858,1fj7,2
4863,1fjc,2
4867,1fje,2
4876,1i56,0
4878,1hhn,3
4879,1ija,2
4880,1h67,3
4883,1i56,5
4892,1m31,3
4894,1ekz,2
4895,1g6p,2
4896,1p6q,3
4899,1g5v,3
4917,1bv2,2
4919,1g7e,2
4920,1g7d,2
4925,1eyf,2
4927,1n02,3
4928,1f62,2
4935,1kvn,3
4948,1hoy,2
4950,1qa4,2
4951,1qa4,2
4957,1i1s,2
4959,1inz,2
4964,1fw7,4
4966,1i02,2
4991,1ilo,3
4997,1jco,2
5000,1m3g,4
5006,1hoy,2
5010,1jaj,3
5022,1i4v,2
5039,1i26,2
5047,1jbi,2
5048,1jbh,3
5061,1kkx,2
5072,1jbj,2
5097,1ijc,2
5117,1jyp,3
5120,1gk5,2
5126,1uc6,3
5128,1klv,3
5130,1iy3,4
5134,1js7,2
5135,1jrv,2
5142,1iy3,4
5148,1jq4,2
5157,1j5b,2
5159,1xke,3
5173,1k36,2
5178,1k85,2
5185,1kat,3
5186,1kat,3
5187,1v4r,3
5188,1irr,2
5189,1nsh,3
5198,1kat,2
5203,1kbf,2
5207,1kcy,2
5208,1bnp,7
5213,1k0v,2
5222,1okd,3
5223,1h92,2
5224,1ivt,3
5232,1kxl,3
5238,1vgh,2
5240,1quw,4
5242,1kn6,2
5257,1hj0,3
5264,1kj6,3
5268,1cix,2
5269,1mwb,3
5275,1kri,2
5284,1kzw,2
5285,1kzx,2
5311,1r5e,3
5315,1l4s,3
5319,1kgl,3
5320,1jjx,2
5322,1mr6,2
5325,1l6h,3
5326,1l6t,2
5330,1jbh,3
5331,1kgl,3
5340,2bid,2
5342,1njq,3
5354,1ll8,2
5356,1lq7,3
5360,1gxi,2
5363,1lo1,2
5364,1go5,2
5392,1l8y,2
5398,1lmz,2
5400,1aml,4
